RAZON SOCIAL,DIRECCION OPERATIVA,DISTRITO,DEPARTAMENTO,lat,lng
Petroecuador El Oro,Sin dirección,Sin distrito,TUMBES,-3.565337,-80.058165
Petroecuador,Sin dirección,Sin distrito,TUMBES,-3.514281,-80.194871
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.541105,-80.023396
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.789552,-80.047535
Petroperu,Sin dirección,Sin distrito,TUMBES,-4.104492,-81.040542
Petroecuador,Sin dirección,Sin distrito,TUMBES,-3.550786,-80.083753
PetroEcuador,Av. Hualtaco,Sin distrito,TUMBES,-3.473192,-80.233635
PetroPerú,Sin dirección,Sin distrito,TUMBES,-3.554558,-80.43206
PETRO PERU,Sin dirección,Sin distrito,TUMBES,-3.554618,-80.436254
Ava,Sin dirección,Sin distrito,TUMBES,-3.555038,-80.434984
Primax,Sin dirección,Sin distrito,TUMBES,-3.505307,-80.201568
Mancora Estacion de Servicio,Sin dirección,Sin distrito,TUMBES,-4.104468,-81.039977
Julio,Sin dirección,Sin distrito,TUMBES,-3.705319,-80.717871
Primax,Sin dirección,Sin distrito,TUMBES,-4.103267,-81.032182
ES Petrocomercial Pindal,Sin dirección,Sin distrito,TUMBES,-4.117445,-80.110083
ES Petrocomercial Puyango,Sin dirección,Sin distrito,TUMBES,-3.997544,-80.037291
Petrocomercial Huaquillas,Sin dirección,Sin distrito,TUMBES,-3.483819,-80.218238
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.543626,-80.393696
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.997657,-80.037162
Petroecuador,Av. Hualtaco,Huaquillas,TUMBES,-3.47319,-80.233662
Petroecuador,Av. Hualtaco,Huaquillas,TUMBES,-3.473162,-80.233853
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.500424,-80.279078
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.598577,-80.486655
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.581435,-80.447762
Sin nombre,Sin dirección,Sin distrito,TUMBES,-3.594866,-80.481265
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-6.770965,-79.846445
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-7.197952,-79.04306
Primax - Primax,Sin dirección,Sin distrito,LAMBAYEQUE,-5.986402,-79.738881
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-5.982627,-79.687858
El Buen Samaritano,Sin dirección,Sin distrito,LAMBAYEQUE,-6.042042,-78.919002
Repsol,Sin dirección,Sin distrito,LAMBAYEQUE,-5.983849,-79.741487
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-6.037476,-79.130847
PetroPerú - Servicios San José,Sin dirección,Sin distrito,LAMBAYEQUE,-5.95584,-79.756337
Leo Gas,Sin dirección,Sin distrito,LAMBAYEQUE,-5.939692,-79.758692
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-6.035877,-79.133151
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-6.042809,-79.122531
Sin nombre,Sin dirección,Sin distrito,LAMBAYEQUE,-7.24701,-79.136502
Repsol - Repsol,Sin dirección,Sin distrito,LAMBAYEQUE,-6.543244,-80.016136
Grifos Mori - Repsol,Sin dirección,Sin distrito,LAMBAYEQUE,-6.683617,-79.903548
