No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
1;202300066799;113840;113840-050-290323;20600438051;ESTACION DE SERVICIOS BOQUERON S.A.C.;CAR.FEDERICO BASADRE KM. 177 C.P. BOQUERON ;UCAYALI;PADRE ABAD;PADRE ABAD;ESTACIONES DE SERVICIOS;C1:10000:DIESEL B5 ;C1:5000:GASOLINA 90 C2:5000:GASOLINA 90 ;;;;;;;;;20000;29/03/2023;INDEFINIDO;CANTARO JAVIER, CESAR PAUL;0
2;202200123413;120796;120796-050-240822;20602783147;PETROCENTROS UNIDOS MINORISTAS ARRASCUE SERRANO E.I.R.L.;PREDIO QUEVEDO MZ. A LOTES 1 Y 2;LA LIBERTAD;TRUJILLO;MOCHE;ESTACIONES DE SERVICIOS;C1:5390:Diesel B5 S-50 ;C1:2135:GASOHOL 90 PLUS ;;;;;;;;;7525;24/08/2022;INDEFINIDO;GENDER ARRASCUE SERRANO;0
3;202300079865;19844;19844-050-230423;20601755506;PETROCENTRO LUAND E.I.R.L.;AV. EL EJERCITO Nº 663;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;ESTACIONES DE SERVICIOS;C1:5000:Diesel B5 S-50 ;C1:5000:Diesel B5 S-50 ;C1:5000:GASOHOL REGULAR ;C1:3050:GASOHOL REGULAR ;C1:3050:GASOHOL PREMIUM ;;;;;;21100;23/04/2023;INDEFINIDO;LUISA ANDIA PECEROS;240
4;201500167478;116412;116412-050-151215;10732315638;ALEXANDERS ARRIAGA HUAMAN;PISTA HUACARPAY - HUAMBUTIO CENTRO POBLADO ANEXO ILLAPATA;CUSCO;QUISPICANCHI;LUCRE;ESTACIONES DE SERVICIOS;C1:9000:Diesel B5 S-50 ;C1:9000:Diesel B5 S-50 ;C1:5000:GASOHOL 84 PLUS ;C1:5000:GASOHOL 90 PLUS ;;;;;;;28000;15/12/2015;INDEFINIDO;ALEXANDERS ARRIAGA HUAMAN;0
5;202200137084;97551;97551-050-230822;10282649522;VICENTE FLORES QUISPE;CIUDAD NUEVA LLOCHEGUA, INTERSECCION DE LA CALLE 4, 5 Y 17 DE LA MZ. O1 ;AYACUCHO;HUANTA;LLOCHEGUA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3436:Diesel B5 S-50 ;C1:1718:GASOHOL 84 PLUS C2:1718:GASOHOL 90 PLUS ;C1:3250:GASOHOL 84 PLUS C2:3250:GASOHOL 95 PLUS ;C1:6500:GASOHOL 90 PLUS ;C1:6500:Diesel B5 S-50 ;;;;;;26372;22/08/2022;23/08/2023;VICENTE FLORES QUISPE;720
6;202200181763;20012;20012-050-220922;20490224336;LEOCUPER REPRESENTACIONES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;AV. INAMBARI MZA. 28, LOTE 13 - MAZUKO;MADRE DE DIOS;TAMBOPATA;INAMBARI;ESTACIONES DE SERVICIOS;C1:5400:Diesel B5 S-50 ;C1:2000:GASOLINA 84 ;C1:1400:Diesel B5 S-50 ;C1:5000:GASOLINA 84 ;C1:5000:GASOLINA 90 ;C1:5000:Diesel B5 S-50 ;;;;;23800;22/09/2022;INDEFINIDO;LEONCIO CCORIMANYA USANDIVARES;720
7;202300072953;62558;62558-050-200423;10225180721;BERLINA CIERTO ROJAS;LOTE 1 SUBLOTE 3 - ZONA G PARCELACION RUSTICA DEL FUNDO CHACRA CERRO;LIMA;LIMA;COMAS;ESTACIONES DE SERVICIOS;C1:4026:Diesel B5 S-50 ;C1:1646:GASOHOL REGULAR C2:1646:GASOHOL PREMIUM ;C1:2021:GASOHOL PREMIUM ;C1:4000:Diesel B5 S-50 ;C1:2000:GASOHOL PREMIUM C2:2000:GASOHOL REGULAR ;;;;;;17339;20/04/2023;INDEFINIDO;BERLINA CIERTO ROJAS;240
8;201800000606;133850;133850-050-120118;10096426670;MARCO ANTONIO CORREA VALENZUELA;SECTOR ILLANYA FRACCION DE LA PARCELA N° 35, CARRET. ABANCAY - CHALHUANCA KM. 07 ;APURIMAC;ABANCAY;ABANCAY;ESTACIONES DE SERVICIOS;C1:9000:Diesel B5 S-50 ;C1:4000:Diesel B5 S-50 ;C1:4000:GASOHOL 90 PLUS ;C1:4000:GASOHOL 95 PLUS ;C1:4000:GASOHOL 97 PLUS ;;;;;;25000;12/01/2018;INDEFINIDO;MARCO ANTONIO CORREA VALENZUELA;0
9;202100101009;106847;106847-050-120721;10432793961;BUSTAMANTE VALLEJOS MIGUEL ANGEL;KM 2 + 100 CARRETERA FERNANDO BELAUNDE TERRY - SECTOR LOS BOLICHES;LAMBAYEQUE;LAMBAYEQUE;OLMOS;ESTACIONES DE SERVICIOS;C1:2200:Diesel B5 S-50 ;C1:2200:GASOHOL 90 PLUS ;;;;;;;;;4400;12/07/2021;INDEFINIDO;MIGUEL ANGEL BUSTAMANTE VALLEJOS;0
10;201900175165;91157;91157-050-111119;20603239220;ESTACION DE SERVICIO ROBIN E.I.R.L;AV. LAS ROSAS Nº 620 - AA.HH. LAS ROSAS, MZ. A, LOTE 53, VIA EVITAMIENTO;AYACUCHO;HUAMANGA;JESUS NAZARENO;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6037:Diesel B5 S-50 ;C1:3227:GASOHOL 84 PLUS ;C1:3227:GASOHOL 90 PLUS ;;;;;;;;12491;11/11/2019;INDEFINIDO;MARCIAL JANAMPA CUADROS;0
11;202200210041;105948;105948-050-141022;20539043782;SERVICENTRO TROYA E.I.R.L.;MZ. PV 16 LOTE 09 SECTOR PUEBLO VIEJO - PUEBLO TRADICIONAL CERCADO BAGUA GRANDE;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;ESTACIONES DE SERVICIOS;C1:3500:Diesel B5 S-50 C2:1500:GASOLINA 84 ;C1:4000:GASOLINA 90 ;C1:2000:GASOHOL 95 PLUS ;;;;;;;;11000;14/10/2022;INDEFINIDO;SEGUNDO JAVIER TROYA DELGADO ;0
12;202200117204;137063;137063-050-280622;10286018853;ADINA LIMACHE CARDENAS;ESQUINA AV. LA UNION Y JR. MANRIQUE;AYACUCHO;HUANTA;CANAYRE;ESTACIONES DE SERVICIOS;C1:6000:Diesel B5 S-50 ;C1:3000:GASOHOL 90 PLUS C2:3000:GASOHOL 90 PLUS ;;;;;;;;;12000;28/06/2022;28/06/2023;ADINA LIMACHE CARDENAS;480
13;201400077024;108495;108495-050-210614;20542838494;SERVICENTRO J. AMERICANO S.A.C.;CARRETERA INTEROCEANICA PUERTO MALDONADO-CUSCO KM. 06 (MARGEN IZQUIERDA);MADRE DE DIOS;TAMBOPATA;TAMBOPATA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:8158:Diesel B5 S-50 ;C1:8158:Diesel B5 S-50 ;C1:8158:Diesel B5 S-50 ;C1:6818:GASOLINA 84 ;C1:2687:GASOLINA 90 ;;;;;;33979;21/06/2014;INDEFINIDO;JHON AMERICO HUAMAN SALAS ;0
14;202100246303;150451;150451-050-141221;20527939471;R & K CONSTRUCTORES S.A.C.;COMUNIDAD CAMPESINA DE YANAMA, SECTOR AYLLUMAYO;CUSCO;ANTA;ZURITE;ESTACIONES DE SERVICIOS;C1:8160:Diesel B5 S-50 ;C1:8160:Diesel B5 S-50 ;C1:8160:GASOHOL 90 PLUS ;C1:4060:GASOHOL 90 PLUS C2:4040:GASOHOL 95 PLUS ;;;;;;;32580;14/12/2021;INDEFINIDO;DUSAN ROBERT QUISPE CAMARGO ;0
15;201900050948;115584;115584-050-020419;20542821176;GRIFO REY DAVID EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;CAR. TRES ISLAS KM. 14 C.C. TUPAC AMARU;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:10723:Diesel B5 S-50 ;C1:5290:GASOLINA 84 ;;;;;;;;;16013;2/04/2019;INDEFINIDO;NIDIA VILMA HUAINA VEGA DE CALLA;0
16;201900040728;132404;132404-050-150319;10311439923;JUAN ROQUE LIZUNDE CCOICCA;AVENIDA LA CULTURA S/N;APURIMAC;ANDAHUAYLAS;PACUCHA;ESTACIONES DE SERVICIOS;C1:7331:Diesel B5 S-50 ;C1:1339:GASOHOL 90 PLUS C2:1339:GASOHOL 90 PLUS ;;;;;;;;;10009;15/03/2019;INDEFINIDO;JUAN ROQUE LIZUNDE CCOICCA;0
17;202300078328;8625;8625-050-220423;20527600546;GRIFO DEL CARMEN E.I.R.L.;JR. LIBERTAD N° 212;CUSCO;LA CONVENCION;SANTA ANA;ESTACIONES DE SERVICIOS;C1:8000:Diesel B5 S-50 ;C1:4000:GASOHOL REGULAR ;C1:2150:GASOHOL 84 PLUS ;;;;;;;;14150;21/04/2023;11/09/2023;CARINA HUAMAN MEZA DE EVANS;240
18;202100219671;8909;8909-050-061021;20605571574;COMERCIALIZADORA DE COMBUSTIBLES SANTIAGO S.A.C.;CARRETERA PANAMERICANA SUR KM. 317.5;ICA;ICA;SANTIAGO;ESTACIONES DE SERVICIOS;C1:2000:GASOHOL 95 PLUS ;C1:4200:GASOHOL 90 PLUS ;C1:1000:GASOHOL 84 PLUS ;C1:3000:SIN PRODUCTO ;C1:5000:Diesel B5 S-50 ;;;;;;15200;6/10/2021;INDEFINIDO;CESAR AUGUSTO TRIVEÑO GARCIA;0
19;202000061095;149611;149611-050-130720;20601448689;COMPAÑIA DE COMBUSTIBLES DEL SUR S.A.C.;AV. VILLARREAL MZ. B LOTE. 33 ANEXO VILLARREAL ;LIMA;CAÑETE;IMPERIAL;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:4500:Diesel B5 S-50 ;C1:3200:GASOHOL 90 PLUS C2:1300:GASOHOL 95 PLUS ;;;;;;;;;9000;13/07/2020;INDEFINIDO;LADY DIANA ESPICHAN CANDELA;0
20;202200199559;152431;152431-050-261022;20502097840;SUMINISTROS PETROLEROS S.A.C.;MZ. DN, LOTES 03,07, 8A, 8B, SECTOR EL PALOMAR, ANEXO 22;LIMA;HUAROCHIRI;SAN ANTONIO;ESTACIONES DE SERVICIOS;C1:6000:Diesel B5 S-50 ;C1:2000:GASOHOL 90 PLUS C2:2000:GASOHOL 95 PLUS ;;;;;;;;;10000;26/10/2022;INDEFINIDO;MANUEL GODOY MALLQUI;0
21;202100291081;160569;160569-050-100322;20603205856;ESTACION DE SERVICIOS LA BONITA S.A.C.;VÍA DE ACCESO A ACARÍ S/N, SECTOR MUNCHER;AREQUIPA;CARAVELI;ACARI;ESTACIONES DE SERVICIOS;C1:8100:Diesel B5 S-50 ;C1:2100:GASOHOL 90 PLUS C2:2100:GASOHOL 95 PLUS C3:1050:GASOHOL 98 PLUS ;;;;;;;;;13350;10/03/2022;INDEFINIDO;ERICK ESTEBAN CASALINO JORDAN;0
22;202000033540;42090;42090-050-260220;20452694698;SERVICENTRO POSBEN S.A.C.;CARRETA PANAMERICANA SUR KM 290.7;ICA;ICA;SALAS;ESTACIONES DE SERVICIOS;C1:3000:Diesel B5 S-50 ;C1:3000:GASOHOL 98 PLUS ;C1:3000:GASOHOL 90 PLUS ;C1:3000:GASOHOL 95 PLUS ;C1:6000:Diesel B5 S-50 ;C1:3000:Diesel B5 S-50 ;C1:2000:GASOHOL 84 PLUS ;;;;23000;26/02/2020;INDEFINIDO;FELIX GERMAN POSADAS CABRERA;0
23;201700122034;130463;130463-050-100817;20601646201;GRIFO VILLA HERMOSA JULIACA S.A.C.;JR.SUCRE N°1277,ESQUINA CON JR. MIRAFLORES;PUNO;SAN ROMAN;JULIACA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6586:Diesel B5 S-50 ;C1:3951:GASOHOL 90 PLUS ;C1:3951:GASOHOL 95 PLUS ;C1:6586:GASOHOL 84 PLUS ;;;;;;;21074;10/08/2017;INDEFINIDO;HILDA ARO ARO;0
24;202000033537;43772;43772-050-260220;10417457220;SORAYDA KALA HUAMAN;CRUCE CARRETERA PANAMERICANA SUR CON CARRETERA AREQUIPA-MAJES-CAMANA, SECTOR “EL SOLITARIO”;AREQUIPA;CAYLLOMA;MAJES;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3927:Diesel B5 S-50 ;C1:1947:GASOHOL 90 PLUS ;C1:1957:SIN PRODUCTO ;C1:5260:Diesel B5 S-50 ;;;;;;;13091;26/02/2020;INDEFINIDO;SORAYDA KALA HUAMAN;0
